path,model,dataset,b1_low,b1_high,b2_low,b2_high
/mnt/lyaa/MCITlib/docs/stage1_b1_band_large_20260811/llava/seed42/canonical/leave_one_dataset__acl/boundary_report.json,llava,acl,15,15,21,21
/mnt/lyaa/MCITlib/docs/stage1_b1_band_large_20260811/llava/seed42/canonical/leave_one_dataset__dcl/boundary_report.json,llava,dcl,10,10,14,14
/mnt/lyaa/MCITlib/docs/stage1_b1_band_large_20260811/llava/seed42/canonical/leave_one_dataset__ucit/boundary_report.json,llava,ucit,14,14,28,28
