path,model,dataset,b1_low,b1_high,b2_low,b2_high
/mnt/lyaa/MCITlib/docs/stage1_b1_band_large_20260811/internvl/seed21/canonical/leave_one_dataset__acl/boundary_report.json,internvl,acl,16,16,20,20
/mnt/lyaa/MCITlib/docs/stage1_b1_band_large_20260811/internvl/seed21/canonical/leave_one_dataset__dcl/boundary_report.json,internvl,dcl,10,10,14,14
/mnt/lyaa/MCITlib/docs/stage1_b1_band_large_20260811/internvl/seed21/canonical/leave_one_dataset__ucit/boundary_report.json,internvl,ucit,20,20,24,24
